o_reward: 0.58, reward: 0.58, Epoch: 54    , params: 0.50, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 36.42   , genotype: [[4, [0, 1, 8, 7], [4, 2, 2, 5], [7, 0, 9, 3]], [[2, 2], [1, 3], [3, 3]]]
o_reward: 0.32, reward: 0.32, Epoch: 55    , params: 0.57, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 67.73   , genotype: [[5, [0, 1, 1, 9], [2, 0, 9, 8], [3, 3, 3, 9]], [[1, 0], [0, 4], [4, 1]]]
o_reward: 0.61, reward: 0.61, Epoch: 56    , params: 0.53, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 39.61   , genotype: [[3, [0, 0, 8, 1], [2, 4, 7, 8], [4, 7, 2, 8]], [[2, 3], [0, 3], [1, 2]]]
o_reward: 0.54, reward: 0.54, Epoch: 57    , params: 0.61, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 49.26   , genotype: [[0, [0, 1, 8, 7], [1, 4, 8, 6], [5, 3, 9, 6]], [[2, 3], [2, 2], [0, 4]]]
o_reward: 0.52, reward: 0.52, Epoch: 58    , params: 0.47, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 42.68   , genotype: [[8, [0, 0, 0, 5], [3, 0, 10, 2], [2, 5, 10, 0]], [[3, 3], [1, 4], [0, 5]]]
o_reward: 0.56, reward: 0.56, Epoch: 59    , params: 0.71, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 51.29   , genotype: [[5, [1, 1, 1, 9], [4, 0, 2, 1], [7, 5, 2, 3]], [[3, 2], [0, 0], [2, 3]]]
o_reward: 0.54, reward: 0.54, Epoch: 61    , params: 0.60, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 37.93   , genotype: [[7, [0, 1, 4, 5], [4, 3, 6, 3], [0, 4, 0, 10]], [[2, 3], [4, 3], [1, 4]]]
o_reward: 0.57, reward: 0.57, Epoch: 62    , params: 0.63, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 49.69   , genotype: [[8, [0, 1, 4, 3], [0, 3, 5, 2], [3, 5, 8, 6]], [[1, 2], [1, 2], [1, 1]]]
o_reward: 0.36, reward: 0.36, Epoch: 64    , params: 0.73, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 21.94   , genotype: [[6, [1, 0, 7, 1], [2, 0, 1, 0], [5, 2, 3, 2]], [[0, 0], [1, 1], [3, 4]]]
o_reward: 0.57, reward: 0.57, Epoch: 65    , params: 0.50, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 48.67   , genotype: [[8, [0, 0, 2, 10], [3, 0, 4, 4], [2, 2, 8, 5]], [[2, 0], [2, 2], [5, 2]]]
o_reward: 0.57, reward: 0.57, Epoch: 66    , params: 0.61, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 47.48   , genotype: [[8, [0, 1, 10, 4], [2, 2, 5, 3], [0, 7, 3, 1]], [[3, 2], [0, 3], [3, 4]]]
o_reward: 0.27, reward: 0.27, Epoch: 67    , params: 0.46, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 40.73   , genotype: [[3, [0, 1, 1, 9], [1, 4, 4, 10], [6, 5, 9, 2]], [[0, 3], [2, 1], [2, 4]]]
o_reward: 0.39, reward: 0.39, Epoch: 68    , params: 0.82, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 31.72   , genotype: [[6, [1, 1, 1, 7], [3, 2, 7, 9], [1, 1, 1, 6]], [[0, 1], [0, 4], [0, 2]]]
o_reward: 0.48, reward: 0.48, Epoch: 69    , params: 0.71, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 49.92   , genotype: [[6, [1, 1, 3, 6], [4, 2, 8, 9], [4, 1, 6, 7]], [[2, 1], [2, 4], [5, 1]]]
o_reward: 0.53, reward: 0.53, Epoch: 70    , params: 0.84, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 53.49   , genotype: [[1, [1, 0, 3, 5], [1, 4, 2, 0], [0, 6, 6, 1]], [[2, 2], [0, 3], [1, 2]]]
o_reward: 0.53, reward: 0.53, Epoch: 71    , params: 0.83, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 46.59   , genotype: [[6, [0, 1, 1, 0], [4, 1, 1, 1], [5, 5, 0, 7]], [[2, 1], [0, 1], [4, 3]]]
o_reward: 0.55, reward: 0.55, Epoch: 72    , params: 0.38, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 44.80   , genotype: [[4, [0, 0, 8, 0], [1, 4, 2, 0], [4, 5, 9, 3]], [[0, 2], [4, 3], [3, 1]]]
o_reward: 0.35, reward: 0.35, Epoch: 73    , params: 0.38, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 56.28   , genotype: [[0, [0, 1, 8, 10], [4, 0, 0, 4], [4, 4, 4, 2]], [[1, 1], [0, 1], [5, 5]]]
o_reward: 0.55, reward: 0.55, Epoch: 74    , params: 0.62, delay: 0.00,flops: 0.00, mo_params_coe: 1.00, mo_delay_coe: 0.00, mo_flops_coe: 0.00, epoch_time: 38.53   , genotype: [[1, [0, 0, 8, 10], [2, 2, 8, 1], [4, 1, 8, 2]], [[1, 2], [1, 2], [0, 1]]]
